[2026-05-09 21:22:33] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:22:54] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:22:54] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:22:57] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:23:24] [INFO] [TaskDefinitionService] TaskDefinition updated: id=4 | action=update
[2026-05-09 21:27:54] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:27:54] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:29:01] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:29:46] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:30:15] [INFO] [TaskDefinitionService] TaskDefinition updated: id=4 | action=update
[2026-05-09 21:30:22] [INFO] [TaskDefinitionService] TaskDefinition updated: id=5 | action=update
[2026-05-09 21:30:30] [INFO] [ProcessInstanceController] Creating ProcessInstance for model id=4 | action=create
[2026-05-09 21:30:30] [INFO] [ProcessInstanceController] Created ProcessInstance id=3 with 3 tasks for model Test 1 | action=create
[2026-05-09 21:32:29] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:32:54] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:32:54] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:37:17] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:37:54] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:37:54] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:38:22] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:39:26] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:39:52] [INFO] [TaskService] Task id=5 assigned to user id=2 | action=assign
[2026-05-09 21:39:54] [INFO] [TaskService] Task id=5 unassigned | action=unassign
[2026-05-09 21:39:57] [INFO] [TaskService] Task id=5 assigned to user id=2 | action=assign
[2026-05-09 21:42:54] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:42:54] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:46:15] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:53:29] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:53:29] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:53:31] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:54:25] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 21:54:35] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:54:35] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:54:38] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:54:38] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:54:41] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:54:41] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:54:43] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:54:43] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:55:48] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:55:48] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:55:55] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:55:55] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:56:01] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:56:01] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:56:07] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
